3,HP,250 G6,Notebook,575.0
6,Acer,Aspire 3,Notebook,400.0
11,HP,250 G6,Notebook,393.9
12,HP,250 G6,Notebook,344.99
14,Dell,Inspiron 3567,Notebook,498.9
17,Dell,Inspiron 3567,Notebook,745.0
19,Lenovo,IdeaPad 320-15IKB,Notebook,499.0
23,HP,255 G6,Notebook,258.0
26,Dell,Inspiron 3567,Notebook,418.64
28,Dell,Inspiron 5570,Notebook,800.0
30,HP,ProBook 470,Notebook,896.0
31,Chuwi,"LapBook 15.6""",Notebook,244.99
32,Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,199.0
33,HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,439.0
36,Lenovo,IdeaPad 120S-14IAP,Notebook,249.0
37,Acer,Aspire 3,Notebook,367.0
38,Dell,Inspiron 5770,Notebook,979.0
39,HP,250 G6,Notebook,488.69
40,HP,ProBook 450,Notebook,879.0
3,HP,250 G6,Notebook,575.0
6,Acer,Aspire 3,Notebook,400.0
11,HP,250 G6,Notebook,393.9
12,HP,250 G6,Notebook,344.99
14,Dell,Inspiron 3567,Notebook,498.9
17,Dell,Inspiron 3567,Notebook,745.0
19,Lenovo,IdeaPad 320-15IKB,Notebook,499.0
23,HP,255 G6,Notebook,258.0
26,Dell,Inspiron 3567,Notebook,418.64
28,Dell,Inspiron 5570,Notebook,800.0
30,HP,ProBook 470,Notebook,896.0
31,Chuwi,"LapBook 15.6""",Notebook,244.99
32,Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,199.0
33,HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,439.0
36,Lenovo,IdeaPad 120S-14IAP,Notebook,249.0
37,Acer,Aspire 3,Notebook,367.0
38,Dell,Inspiron 5770,Notebook,979.0
39,HP,250 G6,Notebook,488.69
40,HP,ProBook 450,Notebook,879.0
103,HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,719.0
104,HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,349.0
105,Dell,Inspiron 3576,Notebook,647.0
108,HP,Pavilion 14-BK001nv,Notebook,659.0
109,Lenovo,Ideapad 310-15ISK,Notebook,414.9
112,Lenovo,Thinkpad T470,Notebook,1480.0
116,HP,Probook 440,Notebook,722.0
119,HP,Probook 440,Notebook,1084.0
120,Dell,Inspiron 7570,Notebook,1130.33
121,Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,564.0
122,Asus,VivoBook S15,Notebook,1118.0
123,Acer,Spin 3,Notebook,479.0
125,Lenovo,IdeaPad 320-15IKBN,Notebook,629.0
126,HP,Probook 470,Notebook,1271.0
127,Acer,Aspire 3,Notebook,451.0
128,HP,250 G6,Notebook,259.0
129,HP,Probook 440,Notebook,812.0
130,Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,277.99
131,Dell,Inspiron 5770,Notebook,1396.0
132,HP,ProBook 470,Notebook,928.0
133,Dell,Inspiron 5567,Notebook,638.99
134,Dell,Inspiron 3567,Notebook,449.0
136,Acer,Aspire A515-51G-37JS,Notebook,572.0
137,HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,598.0
138,HP,Probook 440,Notebook,988.0
139,Lenovo,V110-15IAP (N3350/4GB/1TB/No,Notebook,252.36
141,Lenovo,IdeaPad 320-15IKBN,Notebook,499.0
